Level,MonsterAtk,MonsterHP,RewardGold
0,2.50,40.00,160.00
1,2.55,41.35,168.37
2,2.59,42.66,176.65
3,2.63,43.92,184.78
4,2.67,45.23,193.29
5,2.71,46.57,202.18
6,2.75,47.86,210.86
7,3.55,76.66,435.30
8,3.58,78.02,447.21
9,3.62,79.40,459.45
10,3.65,80.81,472.02
11,3.69,82.24,484.94
12,4.28,108.69,744.71
13,4.32,110.39,762.80
14,4.36,112.13,781.33
15,4.39,113.67,797.91
16,4.42,115.46,817.29
17,4.46,117.05,834.64
18,4.49,118.65,852.35
19,4.52,120.28,870.44
20,4.56,122.18,891.58
21,4.59,123.86,910.50
22,4.63,125.56,929.82
23,4.66,127.04,946.71
24,5.19,155.36,1290.36
25,5.22,157.19,1313.80
26,5.26,159.04,1337.66
27,5.30,161.23,1366.05
28,5.33,163.12,1390.86
29,5.36,165.04,1416.12
30,5.40,166.99,1441.84
31,5.43,168.95,1468.03
32,5.47,170.94,1494.69
33,5.50,172.95,1521.84
34,5.53,174.99,1549.48
35,5.57,177.05,1577.63
36,5.60,179.13,1606.28
37,5.64,181.24,1635.46
38,5.68,183.37,1665.16
39,5.71,185.17,1690.33
40,5.74,187.35,1721.03
41,5.78,189.55,1752.29
42,5.81,191.41,1778.77
43,5.84,193.66,1811.08
44,5.88,195.56,1838.45
45,6.39,228.64,2338.16
46,6.43,230.88,2373.50
47,6.46,233.14,2409.37
48,6.49,235.43,2445.78
49,6.53,237.73,2482.75
50,6.57,240.53,2527.84
51,6.60,242.89,2566.04
52,6.64,245.27,2604.82
53,6.67,247.67,2644.19
54,6.71,250.10,2684.15
55,6.74,252.55,2724.72
56,6.77,254.52,2757.61
57,6.81,257.02,2799.29
58,6.84,259.54,2841.59
59,6.88,262.08,2884.54
60,6.92,264.65,2928.13
61,6.94,266.72,2963.48
62,6.98,269.33,3008.27
63,7.02,271.97,3053.73
64,7.05,274.64,3099.88
65,7.08,276.79,3137.31
66,7.12,279.50,3184.72
67,7.15,281.69,3223.17
68,7.19,284.45,3271.88
69,7.22,286.67,3311.38
70,7.26,289.48,3361.42
71,7.29,291.75,3402.01
72,7.33,294.61,3453.42
73,7.36,296.91,3495.11
74,7.40,299.82,3547.93
75,7.43,302.17,3590.76
76,7.46,304.54,3634.11
77,7.50,307.52,3689.04
78,7.53,309.93,3733.57
79,7.56,312.36,3778.64
80,7.60,315.42,3835.75
81,7.63,317.89,3882.06
82,7.66,320.38,3928.92
83,7.70,322.88,3976.35
84,8.24,366.80,4838.25
85,8.28,369.67,4896.66
86,8.31,372.57,4955.77
87,8.35,375.48,5015.60
88,8.38,378.42,5076.15
89,8.42,381.39,5137.43
90,8.45,384.37,5199.45
91,8.49,387.38,5262.22
92,8.53,390.42,5325.75
93,8.55,392.71,5373.90
94,8.59,395.78,5438.77
95,8.62,398.88,5504.43
96,8.66,402.01,5570.88
97,8.70,405.15,5638.13
98,8.73,408.33,5706.20
99,8.77,411.52,5775.09
100,8.80,413.94,5827.30
101,8.84,417.18,5897.65
102,8.87,420.45,5968.84
103,8.91,423.74,6040.90
104,8.94,426.22,6095.51
105,8.98,429.56,6169.10
106,9.01,432.93,6243.58
107,9.04,435.47,6300.02
108,9.08,438.88,6376.08
109,9.12,442.31,6453.05
110,9.15,444.76,6511.39
111,9.19,448.63,6612.00
112,9.22,451.83,6694.61
113,9.26,454.92,6775.43
114,9.29,458.04,6857.23
115,9.32,461.03,6940.01
116,9.36,464.18,7023.79
117,9.40,468.12,7129.94
118,9.44,471.33,7216.02
119,9.47,474.56,7303.13
120,9.51,477.81,7391.30
121,9.54,480.92,7480.53
122,9.57,484.22,7570.83
123,9.61,487.53,7662.23
124,9.64,490.87,7754.73
125,9.68,494.23,7848.35
126,9.71,497.45,7943.10
127,9.75,500.86,8038.99
128,9.79,504.29,8136.04
129,9.82,507.75,8234.26
130,9.85,510.23,8308.70
131,9.88,513.72,8409.01
132,9.92,517.24,8510.52
133,9.96,520.78,8613.26
134,9.99,524.35,8717.24
135,10.03,527.77,8822.48
136,10.06,530.52,8902.24
137,10.09,534.15,9009.71
138,10.13,537.81,9118.48
139,10.17,541.32,9228.56
140,10.19,544.14,9311.99
141,10.23,547.87,9424.41
142,10.27,551.62,9538.18
143,10.30,554.31,9624.42
144,10.33,558.11,9740.60
145,10.37,561.93,9858.20
146,10.40,564.68,9947.32
147,10.44,568.54,10067.41
148,10.47,571.51,10158.42
149,10.51,575.42,10281.06
150,10.54,579.17,10405.17
151,10.57,582.19,10499.24
152,10.61,586.18,10625.99
153,10.64,589.05,10722.06
154,10.68,593.08,10851.50
155,11.27,656.03,12711.27
156,11.34,662.86,12999.75
157,11.39,668.36,13238.64
158,11.42,672.03,13364.06
159,11.46,676.29,13521.53
160,11.49,679.88,13645.72
161,11.54,684.56,13811.44
162,11.57,687.81,13933.32
163,11.61,692.56,14102.53
164,11.64,696.23,14232.06
165,11.68,701.03,14404.90
166,11.71,704.36,14532.02
167,11.76,709.22,14708.50
168,11.79,712.98,14843.60
169,11.83,717.50,15018.50
170,11.87,721.30,15156.44
171,11.91,726.28,15340.51
172,11.94,729.72,15475.88
173,11.97,733.60,15618.03
174,12.02,738.65,15807.70
175,12.05,742.16,15947.20
176,12.08,746.10,16093.67
177,12.13,751.24,16289.12
178,12.16,754.81,16432.86
179,12.19,758.82,16583.79
180,12.24,764.05,16785.20
181,12.27,767.67,16933.31
182,12.31,771.75,17088.84
183,12.34,775.84,17245.80
184,12.38,780.76,17449.01
185,12.42,784.90,17609.28
186,12.45,789.07,17771.01
187,12.48,792.81,17927.83
188,12.53,798.28,18145.56
189,12.57,802.52,18312.22
190,12.60,806.33,18473.82
191,12.63,810.60,18643.49
192,12.67,814.45,18808.01
193,12.70,818.77,18980.76
194,12.75,824.42,19211.27
195,12.78,828.33,19380.80
196,12.82,832.73,19558.81
197,12.86,837.15,19738.45
198,12.89,841.12,19912.63
199,12.93,845.59,20095.53
200,12.96,849.60,20272.86
201,13.00,854.11,20459.06
202,13.03,858.64,20646.97
203,13.08,864.08,20890.26
204,13.11,867.70,21077.61
205,13.14,871.37,21268.17
206,13.17,875.06,21460.45
207,13.20,878.77,21654.46
208,13.24,883.59,21914.32
209,13.27,887.34,22112.43
210,13.30,891.09,22312.34
211,13.33,894.87,22514.06
212,13.36,898.65,22717.60
213,13.40,903.88,22990.21
214,13.43,907.71,23198.06
215,13.46,911.56,23407.79
216,13.49,915.41,23619.41
217,13.52,919.29,23832.94
218,13.55,923.18,24048.41
219,13.58,927.09,24265.82
220,13.61,931.02,24485.20
221,13.64,934.96,24706.56
222,13.69,940.23,25008.39
223,13.72,944.21,25234.49
224,13.75,948.20,25462.62
225,13.78,952.22,25692.82
226,13.81,956.25,25925.10
227,13.84,960.30,26159.48
228,13.87,964.37,26395.97
229,13.91,968.45,26634.61
230,13.94,972.55,26875.40
231,13.97,976.67,27118.37
232,14.00,980.80,27363.54
233,14.03,984.95,27610.92
234,14.06,989.12,27860.54
235,14.10,993.31,28112.42
236,14.13,997.52,28366.58
237,14.16,1001.74,28623.03
238,14.18,1004.58,28791.17
239,14.21,1008.84,29051.46
240,14.25,1013.11,29314.10
241,14.28,1017.40,29579.12
242,14.31,1021.70,29846.53
243,14.34,1026.03,30116.36
244,14.38,1030.37,30388.63
245,14.41,1034.74,30663.37
246,14.44,1039.12,30940.58
247,14.46,1041.87,31129.01
248,14.50,1046.28,31410.43
249,14.53,1050.71,31694.40
250,14.56,1055.16,31980.94
251,14.60,1059.63,32270.07
252,14.63,1064.11,32561.81
253,14.65,1067.28,32760.11
254,14.69,1071.80,33056.28
255,14.72,1076.34,33355.13
256,14.75,1080.90,33656.68
257,14.79,1085.47,33960.96
258,14.81,1088.55,34160.45
259,14.84,1093.16,34469.29
260,14.88,1097.79,34780.91
261,14.91,1102.44,35095.35
262,14.93,1105.36,35309.08
263,14.97,1110.04,35628.29
264,15.00,1114.74,35950.40
265,15.03,1119.46,36275.41
266,15.06,1122.79,36496.32
267,15.09,1127.54,36826.27
268,15.13,1132.32,37159.20
269,15.15,1135.53,37377.49
270,15.18,1140.33,37715.41
271,15.22,1145.16,38056.38
272,15.25,1150.01,38400.43
273,15.28,1153.06,38634.29
274,16.00,1256.15,44206.75
275,16.06,1265.62,45102.44
276,16.09,1269.33,45646.93
277,16.13,1275.37,46351.00
278,16.15,1279.00,46624.12
279,16.19,1284.42,47045.63
280,16.23,1289.85,47470.95
281,16.26,1295.31,47900.12
282,16.30,1300.80,48333.16
283,16.32,1304.24,48627.07
284,16.36,1309.76,49066.69
285,16.39,1315.59,97227.35
286,16.44,1326.79,98696.76
287,16.50,1337.84,100188.37
288,16.55,1349.18,101696.17
289,16.61,1362.48,103549.74
290,16.66,1373.86,105088.42
291,16.71,1385.78,106703.30
292,16.76,1397.57,108315.91
293,16.82,1408.65,109939.16
294,16.86,1418.62,111301.15
295,16.92,1432.09,115247.00
296,16.98,1443.73,116952.18
297,17.01,1453.24,118371.46
298,17.06,1465.49,120145.39
299,17.13,1477.94,121991.65
300,17.18,1490.40,123819.84
301,17.21,1500.22,125322.46
302,17.28,1512.72,127216.47
303,17.33,1525.53,129131.03
304,17.37,1536.08,130698.10
305,17.43,1548.26,132656.77
306,17.48,1561.69,134695.29
307,17.53,1571.89,136287.29
308,17.58,1584.88,138364.30
309,17.62,1595.58,140008.43
310,17.67,1606.59,141742.94
311,17.72,1619.61,143867.12
312,17.77,1630.46,145603.92
313,17.82,1644.07,147767.50
314,17.87,1655.41,149598.14
315,17.91,1665.98,151366.28
316,17.95,1676.25,153298.97
317,18.00,1686.38,155227.24
318,18.03,1697.63,157209.23
319,18.08,1708.23,159236.43
320,18.12,1718.56,161239.38
321,18.16,1730.02,163298.14
322,18.21,1740.83,165403.86
323,18.25,1751.35,167484.38
324,18.29,1763.03,169622.88
325,18.34,1774.04,171810.15
326,18.38,1784.76,173971.26
327,18.42,1796.66,176192.58
328,18.47,1807.89,178464.57
329,18.50,1816.45,180168.06
330,18.55,1827.43,182434.30
331,18.59,1839.62,184763.68
332,18.63,1851.11,187146.19
333,18.67,1859.88,188932.55
334,18.71,1871.12,191309.03
335,18.75,1883.59,193751.73
336,18.80,1895.36,196250.14
337,18.83,1904.34,198123.40
338,18.88,1915.85,200615.49
339,18.92,1928.62,203177.02
340,18.95,1937.76,205116.40
341,19.00,1949.86,207761.36
342,19.05,1961.65,210374.67
343,19.08,1970.94,212382.75
344,19.12,1984.08,215094.53
345,19.17,1996.48,217868.16
346,19.20,2005.93,219947.77
347,19.25,2018.06,222714.37
348,19.29,2027.61,224840.24
349,19.33,2041.14,227711.08
350,19.36,2050.80,229884.64
351,19.41,2063.62,232848.98
352,19.44,2073.39,235071.59
353,19.49,2085.92,238028.42
354,19.53,2095.80,240300.47
355,19.57,2109.78,243368.71
356,19.62,2122.96,246506.93
357,19.65,2131.10,248766.30
358,19.70,2141.11,251816.99
359,19.74,2151.34,254936.66
360,19.79,2161.53,258078.84
361,19.82,2169.47,260509.70
362,19.87,2179.75,263720.57
363,19.92,2190.79,267104.53
364,19.97,2201.25,270481.20
365,19.99,2208.89,272943.58
366,20.05,2219.35,276376.79
367,20.09,2229.87,279643.37
368,20.14,2237.67,282347.94
369,20.19,2248.27,285827.97
370,20.23,2258.92,289350.90
371,20.29,2269.61,292917.23
372,20.31,2277.03,295639.30
373,20.37,2287.63,299320.56
374,20.41,2298.46,303009.79
375,20.45,2307.76,305882.98
376,20.50,2318.59,309633.73
377,20.53,2326.74,312550.21
378,20.58,2337.76,316244.33
379,20.63,2345.94,319302.88
380,20.67,2357.05,323238.40
381,20.72,2368.21,327222.42
382,20.75,2375.85,330242.63
383,20.80,2387.20,334333.88
384,20.84,2396.56,337440.80
385,20.88,2408.01,341621.23
386,20.92,2416.37,344903.65
387,20.97,2427.81,349067.43
388,21.03,2436.31,352267.24
389,21.07,2447.65,356564.49
390,21.10,2455.65,359967.99
391,21.17,2470.29,543925.28
392,21.25,2490.30,554150.84
393,21.32,2505.66,562771.91
394,21.37,2521.34,573914.38
395,21.45,2536.37,582952.20
396,21.51,2552.63,591799.39
397,21.58,2569.45,601231.60
398,21.66,2585.61,610241.76
399,21.72,2602.18,619812.93
400,21.79,2618.47,629376.86
401,21.86,2636.01,638728.97
402,21.93,2651.94,648544.24
403,22.00,2668.97,658716.15
404,22.07,2686.41,669005.80
405,22.13,2699.79,677166.86
406,22.20,2719.35,687615.78
407,22.27,2735.56,698444.14
408,22.33,2748.74,706787.62
409,22.38,2763.66,717514.19
410,22.45,2776.75,726357.80
411,22.51,2793.42,737289.21
412,22.56,2806.65,746376.54
413,22.63,2824.22,758272.43
414,22.68,2837.60,767618.40
415,22.76,2854.40,779852.81
416,22.81,2867.91,789464.76
417,22.86,2881.50,799195.18
418,22.92,2897.38,811425.62
419,22.99,2911.10,821632.10
420,23.04,2924.89,831759.00
421,23.12,2943.16,844593.29
422,23.17,2957.62,855003.19
423,23.23,2977.50,868141.92
424,23.29,2993.10,879281.59
425,23.33,3006.83,889674.09
426,23.38,3023.35,900752.23
