System,Level,AttributeValue,AtkMultiplier,HPMultiplier,CostGold,CostStamina,SuccessRate,IsBreakthrough
强化_v1,0,1.0000,1.0000,1.0000,20.00,0,100%,False
强化_v1,1,1.0193,1.0125,1.0193,21.00,0,92%,False
强化_v1,2,1.0390,1.0252,1.0390,22.05,0,84%,False
强化_v1,3,1.0590,1.0380,1.0590,23.15,0,76%,False
强化_v1,4,1.0794,1.0509,1.0794,24.31,0,68%,False
强化_v1,5,1.1003,1.0641,1.1003,25.53,0,60%,False
强化_v1,6,1.1215,1.0774,1.1215,26.80,0,52%,False
强化_v1,7,1.1431,1.0908,1.1431,28.14,0,44%,False
强化_v1,8,1.1652,1.1045,1.1652,29.55,0,36%,False
强化_v1,9,1.1877,1.1183,1.1877,0,3.00,28%,True
强化_v1,10,2.9692,2.0287,2.9692,31.03,0,100%,False
强化_v1,11,3.0265,2.0540,3.0265,32.58,0,92%,False
强化_v1,12,3.0849,2.0797,3.0849,34.21,0,84%,False
强化_v1,13,3.1444,2.1057,3.1444,35.92,0,76%,False
强化_v1,14,3.2050,2.1320,3.2050,37.71,0,68%,False
强化_v1,15,3.2669,2.1587,3.2669,39.60,0,60%,False
强化_v1,16,3.3299,2.1857,3.3299,41.58,0,52%,False
强化_v1,17,3.3942,2.2130,3.3942,43.66,0,44%,False
强化_v1,18,3.4596,2.2406,3.4596,45.84,0,36%,False
强化_v1,19,3.5264,2.2686,3.5264,0,3.90,28%,True
强化_v1,20,8.8160,4.1155,8.8160,48.13,0,100%,False
强化_v1,21,8.9861,4.1670,8.9861,50.54,0,92%,False
强化_v1,22,9.1595,4.2191,9.1595,53.07,0,84%,False
强化_v1,23,9.3362,4.2718,9.3362,55.72,0,76%,False
强化_v1,24,9.5163,4.3252,9.5163,58.51,0,68%,False
强化_v1,25,9.6999,4.3793,9.6999,61.43,0,60%,False
强化_v1,26,9.8871,4.4340,9.8871,64.50,0,52%,False
强化_v1,27,10.0779,4.4894,10.0779,67.73,0,44%,False
强化_v1,28,10.2723,4.5455,10.2723,71.11,0,36%,False
强化_v1,29,10.4705,4.6023,10.4705,0,5.07,28%,True
强化_v1,30,26.1762,8.3491,26.1762,74.67,0,100%,False
强化_v1,31,26.6813,8.4535,26.6813,78.40,0,92%,False
强化_v1,32,27.1961,8.5591,27.1961,82.32,0,84%,False
强化_v1,33,27.7208,8.6661,27.7208,86.44,0,76%,False
强化_v1,34,28.2556,8.7744,28.2556,90.76,0,68%,False
强化_v1,35,28.8008,8.8841,28.8008,95.30,0,60%,False
强化_v1,36,29.3565,8.9951,29.3565,100.06,0,52%,False
强化_v1,37,29.9229,9.1076,29.9229,105.07,0,44%,False
强化_v1,38,30.5002,9.2214,30.5002,110.32,0,36%,False
强化_v1,39,31.0887,9.3367,31.0887,0,6.59,28%,True
强化_v1,40,77.7218,16.9376,77.7218,115.84,0,100%,False
强化_v1,41,79.2213,17.1493,79.2213,121.63,0,92%,False
强化_v1,42,80.7498,17.3637,80.7498,127.71,0,84%,False
强化_v1,43,82.3078,17.5807,82.3078,134.10,0,76%,False
强化_v1,44,83.8959,17.8005,83.8959,140.80,0,68%,False
强化_v1,45,85.5146,18.0230,85.5146,147.84,0,60%,False
强化_v1,46,87.1645,18.2482,87.1645,155.23,0,52%,False
强化_v1,47,88.8463,18.4763,88.8463,162.99,0,44%,False
强化_v1,48,90.5605,18.7073,90.5605,171.14,0,36%,False
强化_v1,49,92.3078,18.9411,92.3078,0,8.57,28%,True
强化_v1,50,230.7694,34.3610,230.7694,179.70,0,100%,False
强化_v1,51,235.2219,34.7905,235.2219,188.69,0,92%,False
强化_v1,52,239.7603,35.2253,239.7603,198.12,0,84%,False
强化_v1,53,244.3863,35.6656,244.3863,208.03,0,76%,False
强化_v1,54,249.1015,36.1114,249.1015,218.43,0,68%,False
强化_v1,55,253.9077,36.5628,253.9077,229.35,0,60%,False
强化_v1,56,258.8066,37.0198,258.8066,240.82,0,52%,False
强化_v1,57,263.8001,37.4825,263.8001,252.86,0,44%,False
强化_v1,58,268.8899,37.9510,268.8899,265.50,0,36%,False
强化_v1,59,274.0779,38.4254,274.0779,0,11.14,28%,True
强化_v1,60,685.1947,69.7074,685.1947,278.77,0,100%,False
强化_v1,61,698.4149,70.5787,698.4149,292.71,0,92%,False
强化_v1,62,711.8902,71.4609,711.8902,307.35,0,84%,False
强化_v1,63,725.6255,72.3541,725.6255,322.72,0,76%,False
强化_v1,64,739.6258,73.2585,739.6258,338.85,0,68%,False
强化_v1,65,753.8962,74.1741,753.8962,355.79,0,60%,False
强化_v1,66,768.4420,75.1013,768.4420,373.58,0,52%,False
强化_v1,67,783.2684,76.0400,783.2684,392.26,0,44%,False
强化_v1,68,798.3808,76.9904,798.3808,411.88,0,36%,False
强化_v1,69,813.7849,77.9527,813.7849,0,14.48,28%,True
强化_v1,70,2034.4622,141.4140,2034.4622,432.47,0,100%,False
强化_v1,71,2073.7154,143.1815,2073.7154,454.09,0,92%,False
强化_v1,72,2113.7259,144.9712,2113.7259,476.80,0,84%,False
强化_v1,73,2154.5083,146.7832,2154.5083,500.64,0,76%,False
强化_v1,74,2196.0777,148.6179,2196.0777,525.67,0,68%,False
强化_v1,75,2238.4490,150.4755,2238.4490,551.95,0,60%,False
强化_v1,76,2281.6379,152.3563,2281.6379,579.55,0,52%,False
强化_v1,77,2325.6601,154.2606,2325.6601,608.53,0,44%,False
强化_v1,78,2370.5317,156.1887,2370.5317,638.95,0,36%,False
强化_v1,79,2416.2690,158.1410,2416.2690,0,18.82,28%,True
强化_v1,80,6040.6725,286.8834,6040.6725,670.90,0,100%,False
强化_v1,81,6157.2219,290.4692,6157.2219,704.45,0,92%,False
强化_v1,82,6276.0200,294.0999,6276.0200,739.67,0,84%,False
强化_v1,83,6397.1103,297.7759,6397.1103,776.65,0,76%,False
强化_v1,84,6520.5369,301.4978,6520.5369,815.49,0,68%,False
